FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,Block,Longitude,Latitude,Class,Year
67,5800.0,GTO,CCSFS SLC 40,2,True,True,True,5,-80.577366,28.5618571,1,2018
68,7060.0,GTO,CCSFS SLC 40,1,True,False,True,5,-80.577366,28.5618571,1,2018
69,2800.0,SSO,VAFB SLC 4E,2,True,True,True,5,-120.610829,34.632093,1,2018
70,3000.0,GTO,KSC LC 39A,2,True,True,True,5,-80.6039558,28.6080585,1,2018
71,4000.0,SSO,VAFB SLC 4E,3,True,True,True,5,-120.610829,34.632093,1,2018
72,2573.0,ISS,CCSFS SLC 40,1,True,False,True,5,-80.577366,28.5618571,0,2018
73,4400.0,MEO,CCSFS SLC 40,1,False,False,False,5,-80.577366,28.5618571,0,2018
74,9600.0,PO,VAFB SLC 4E,2,True,True,True,5,-120.610829,34.632093,1,2019
75,5000.0,GTO,CCSFS SLC 40,3,True,True,True,5,-80.577366,28.5618571,1,2019
76,12259.0,ISS,KSC LC 39A,1,True,False,True,5,-80.6039558,28.6080585,1,2019
78,2482.0,ISS,CCSFS SLC 40,1,True,False,True,5,-80.577366,28.5618571,1,2019
79,13200.0,VLEO,CCSFS SLC 40,3,True,True,True,5,-80.577366,28.5618571,1,2019
80,1425.0,SSO,VAFB SLC 4E,2,True,True,True,5,-120.610829,34.632093,1,2019
82,2227.7,ISS,CCSFS SLC 40,2,True,True,True,5,-80.577366,28.5618571,1,2019
83,6500.0,GTO,CCSFS SLC 40,3,False,True,False,5,-80.577366,28.5618571,0,2019
84,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5,-80.577366,28.5618571,1,2019
85,5000.0,ISS,CCSFS SLC 40,1,True,False,True,5,-80.577366,28.5618571,1,2019
86,6800.0,GTO,CCSFS SLC 40,3,True,True,True,5,-80.577366,28.5618571,1,2019
87,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5,-80.577366,28.5618571,1,2020
88,8117.574038461539,SO,KSC LC 39A,4,False,True,False,5,-80.6039558,28.6080585,0,2020
89,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5,-80.577366,28.5618571,1,2020
90,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5,-80.577366,28.5618571,0,2020
91,1977.0,ISS,CCSFS SLC 40,2,True,True,True,5,-80.577366,28.5618571,1,2020
92,15600.0,VLEO,KSC LC 39A,5,True,True,True,5,-80.6039558,28.6080585,0,2020
93,15600.0,VLEO,KSC LC 39A,4,True,True,True,5,-80.6039558,28.6080585,1,2020
94,9525.0,ISS,KSC LC 39A,1,True,False,True,5,-80.6039558,28.6080585,1,2020
95,15600.0,VLEO,CCSFS SLC 40,5,True,True,True,5,-80.577366,28.5618571,1,2020
96,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5,-80.577366,28.5618571,1,2020
97,3880.0,MEO,CCSFS SLC 40,1,True,False,True,5,-80.577366,28.5618571,1,2020
98,8117.574038461539,GEO,CCSFS SLC 40,2,True,True,True,5,-80.577366,28.5618571,1,2020
99,15600.0,VLEO,KSC LC 39A,5,True,True,True,5,-80.6039558,28.6080585,1,2020
100,15600.0,VLEO,CCSFS SLC 40,6,True,True,True,5,-80.577366,28.5618571,1,2020
101,1600.0,SSO,CCSFS SLC 40,4,True,True,True,5,-80.577366,28.5618571,1,2020
102,15600.0,VLEO,KSC LC 39A,2,True,True,True,5,-80.6039558,28.6080585,1,2020
103,15600.0,VLEO,KSC LC 39A,3,True,True,True,5,-80.6039558,28.6080585,1,2020
104,15600.0,VLEO,KSC LC 39A,6,True,True,True,5,-80.6039558,28.6080585,1,2020
105,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5,-80.577366,28.5618571,1,2020
106,3681.0,MEO,CCSFS SLC 40,1,True,False,True,5,-80.577366,28.5618571,1,2020
107,8117.574038461539,ISS,KSC LC 39A,1,True,False,True,5,-80.6039558,28.6080585,1,2020
108,1440.0,PO,VAFB SLC 4E,1,True,False,True,5,-120.610829,34.632093,1,2020
109,15600.0,VLEO,CCSFS SLC 40,7,True,True,True,5,-80.577366,28.5618571,1,2020
110,2972.0,ISS,KSC LC 39A,4,True,True,True,5,-80.6039558,28.6080585,1,2020
111,7000.0,GTO,CCSFS SLC 40,7,True,True,True,5,-80.577366,28.5618571,1,2020
112,8117.574038461539,,KSC LC 39A,5,True,True,True,5,-80.6039558,28.6080585,1,2020
113,3500.0,GTO,CCSFS SLC 40,4,True,True,True,5,-80.577366,28.5618571,1,2021
114,15600.0,VLEO,KSC LC 39A,8,True,True,True,5,-80.6039558,28.6080585,1,2021
115,8117.574038461539,SSO,CCSFS SLC 40,5,True,True,True,5,-80.577366,28.5618571,1,2021
116,15600.0,VLEO,CCSFS SLC 40,5,True,True,True,5,-80.577366,28.5618571,1,2021
117,15600.0,VLEO,CCSFS SLC 40,6,True,True,True,5,-80.577366,28.5618571,0,2021
118,15600.0,VLEO,KSC LC 39A,8,True,True,True,5,-80.6039558,28.6080585,1,2021
119,15600.0,VLEO,CCSFS SLC 40,6,True,True,True,5,-80.577366,28.5618571,1,2021
120,15600.0,VLEO,KSC LC 39A,9,True,True,True,5,-80.6039558,28.6080585,1,2021
121,15600.0,VLEO,CCSFS SLC 40,6,True,True,True,5,-80.577366,28.5618571,1,2021
122,15600.0,VLEO,CCSFS SLC 40,7,True,True,True,5,-80.577366,28.5618571,1,2021
123,8117.574038461539,ISS,KSC LC 39A,2,True,True,True,5,-80.6039558,28.6080585,1,2021
124,15600.0,VLEO,CCSFS SLC 40,7,True,True,True,5,-80.577366,28.5618571,1,2021
125,15600.0,VLEO,KSC LC 39A,9,True,True,True,5,-80.6039558,28.6080585,1,2021
126,15600.0,VLEO,CCSFS SLC 40,10,True,True,True,5,-80.577366,28.5618571,1,2021
127,13520.0,VLEO,KSC LC 39A,8,True,True,True,5,-80.6039558,28.6080585,1,2021
128,15600.0,VLEO,CCSFS SLC 40,2,True,True,True,5,-80.577366,28.5618571,1,2021
129,3328.0,ISS,KSC LC 39A,1,True,False,True,5,-80.6039558,28.6080585,1,2021
130,7000.0,GTO,CCSFS SLC 40,3,True,True,True,5,-80.577366,28.5618571,1,2021
131,3681.0,MEO,CCSFS SLC 40,2,True,True,True,5,-80.577366,28.5618571,1,2021
132,8117.574038461539,SSO,CCSFS SLC 40,8,True,True,True,5,-80.577366,28.5618571,1,2021
133,8117.574038461539,ISS,KSC LC 39A,4,True,True,True,5,-80.6039558,28.6080585,1,2021
134,15600.0,PO,VAFB SLC 4E,10,True,True,True,5,-120.610829,34.632093,1,2021
135,8117.574038461539,LEO,KSC LC 39A,3,True,True,True,5,-80.6039558,28.6080585,1,2021
136,12519.0,ISS,KSC LC 39A,2,True,True,True,5,-80.6039558,28.6080585,1,2021
137,13260.0,LEO,CCSFS SLC 40,9,True,True,True,5,-80.577366,28.5618571,1,2021
138,670.0,TLI,VAFB SLC 4E,2,True,True,True,5,-120.610829,34.632093,1,2021
139,13260.0,PO,CCSFS SLC 40,9,True,True,True,5,-80.577366,28.5618571,1,2021
140,330.0,LEO,KSC LC 39A,5,True,True,True,5,-80.6039558,28.6080585,1,2021
141,13260.0,PO,VAFB SLC 4E,11,True,True,True,5,-120.610829,34.632093,1,2021
142,3500.0,GTO,CCSFS SLC 40,3,True,True,True,5,-80.577366,28.5618571,1,2021
143,8117.574038461539,ISS,KSC LC 39A,1,True,False,True,5,-80.6039558,28.6080585,1,2021
144,13260.0,VLEO,KSC LC 39A,4,True,True,True,5,-80.6039558,28.6080585,1,2022
145,8117.574038461539,LEO,CCSFS SLC 40,10,True,True,True,5,-80.577366,28.5618571,1,2022
146,13260.0,VLEO,KSC LC 39A,10,True,True,True,5,-80.6039558,28.6080585,1,2022
147,2240.0,SSO,CCSFS SLC 40,3,True,True,True,5,-80.577366,28.5618571,1,2022
148,8117.574038461539,LEO,VAFB SLC 4E,1,True,False,True,5,-120.610829,34.632093,1,2022
149,13260.0,VLEO,KSC LC 39A,6,True,True,True,5,-80.6039558,28.6080585,1,2022
150,13260.0,VLEO,CCSFS SLC 40,11,True,True,True,5,-80.577366,28.5618571,1,2022
151,13260.0,VLEO,VAFB SLC 4E,4,True,True,True,5,-120.610829,34.632093,1,2022
152,13260.0,VLEO,KSC LC 39A,11,True,True,True,5,-80.6039558,28.6080585,1,2022
153,13260.0,VLEO,CCSFS SLC 40,4,True,True,True,5,-80.577366,28.5618571,1,2022
154,13260.0,VLEO,CCSFS SLC 40,12,True,True,True,5,-80.577366,28.5618571,1,2022
155,8117.574038461539,SSO,CCSFS SLC 40,7,True,True,True,5,-80.577366,28.5618571,1,2022
156,8117.574038461539,ISS,KSC LC 39A,5,True,True,True,5,-80.6039558,28.6080585,1,2022
157,8117.574038461539,LEO,VAFB SLC 4E,2,True,True,True,5,-120.610829,34.632093,1,2022
158,13260.0,VLEO,CCSFS SLC 40,12,True,True,True,5,-80.577366,28.5618571,1,2022
159,8117.574038461539,ISS,KSC LC 39A,4,True,True,True,5,-80.6039558,28.6080585,1,2022
160,13260.0,VLEO,CCSFS SLC 40,6,True,True,True,5,-80.577366,28.5618571,1,2022
161,13260.0,VLEO,KSC LC 39A,12,True,True,True,5,-80.6039558,28.6080585,1,2022
162,13260.0,VLEO,VAFB SLC 4E,5,True,True,True,5,-120.610829,34.632093,1,2022
163,13260.0,VLEO,CCSFS SLC 40,1,True,False,True,5,-80.577366,28.5618571,1,2022
164,13260.0,VLEO,KSC LC 39A,5,True,True,True,5,-80.6039558,28.6080585,1,2022
165,8117.574038461539,SSO,CCSFS SLC 40,8,True,True,True,5,-80.577366,28.5618571,1,2022
166,3938.0,GEO,CCSFS SLC 40,7,True,True,True,5,-80.577366,28.5618571,1,2022
167,13260.0,VLEO,KSC LC 39A,13,True,True,True,5,-80.6039558,28.6080585,1,2022
168,2200.0,SSO,VAFB SLC 4E,3,True,True,True,5,-120.610829,34.632093,1,2022
169,700.0,LEO,CCSFS SLC 40,9,True,True,True,5,-80.577366,28.5618571,1,2022
170,3500.0,MEO,CCSFS SLC 40,2,True,True,True,5,-80.577366,28.5618571,1,2022
171,13260.0,VLEO,CCSFS SLC 40,13,True,True,True,5,-80.577366,28.5618571,1,2022
172,13260.0,VLEO,VAFB SLC 4E,6,True,True,True,5,-120.610829,34.632093,1,2022
173,8117.574038461539,ISS,KSC LC 39A,5,True,True,True,5,-80.6039558,28.6080585,1,2022
174,13260.0,VLEO,CCSFS SLC 40,13,True,True,True,5,-80.577366,28.5618571,1,2022
175,13260.0,VLEO,VAFB SLC 4E,4,True,True,True,5,-120.610829,34.632093,1,2022
176,13260.0,VLEO,CCSFS SLC 40,8,True,True,True,5,-80.577366,28.5618571,1,2022
177,678.0,TLI,CCSFS SLC 40,6,True,True,True,5,-80.577366,28.5618571,1,2022
178,13260.0,VLEO,KSC LC 39A,3,True,True,True,5,-80.6039558,28.6080585,1,2022
179,13260.0,VLEO,VAFB SLC 4E,10,True,True,True,5,-120.610829,34.632093,1,2022
180,13260.0,VLEO,CCSFS SLC 40,9,True,True,True,5,-80.577366,28.5618571,1,2022
181,13260.0,VLEO,KSC LC 39A,2,True,True,True,5,-80.6039558,28.6080585,1,2022
182,13260.0,VLEO,VAFB SLC 4E,7,True,True,True,5,-120.610829,34.632093,1,2022
183,13260.0,VLEO,CCSFS SLC 40,7,True,True,True,5,-80.577366,28.5618571,1,2022
184,13260.0,VLEO,KSC LC 39A,14,True,True,True,5,-80.6039558,28.6080585,1,2022
185,13260.0,VLEO,CCSFS SLC 40,6,True,True,True,5,-80.577366,28.5618571,1,2022
186,13260.0,VLEO,CCSFS SLC 40,4,True,True,True,5,-80.577366,28.5618571,1,2022
187,8117.574038461539,ISS,KSC LC 39A,1,True,False,True,5,-80.6039558,28.6080585,1,2022
